EXAME|UNIDADE|VALOR_REF
ALFA-FETOPROTEINA, soro - Alfa Fetoproteína - Alfa Fetoproteína|microg/L|Até 7,0
CALCITONINA, soro - Calcitonina - Calcitonina|pg/mL|Até 9,8
TROPONINA I, plasma - Troponina I - Troponina I|ng/mL|inferior a 0,16
CKMB massa, plasma - CK-MB, Eletroquimioluminescência - CK-MB, Eletroquimioluminescência|ng/mL|inferior a 5,0
CONTAGEM DE RETICULOCITOS, sangue total - Reticulócitos - Reticulócitos|/mm3|22.000 a 94.000
CONTAGEM DE RETICULOCITOS, sangue total - Reticulócitos % - Reticulócitos %|%|
CONTAGEM DE RETICULOCITOS, sangue total - Fração de reticulócitos imaturos (IRF) - Fração de reticulócitos imaturos (IRF)|%|2,1 a 14,9
PROTEINA TOTAL E FRACOES, soro - Proteínas - Proteínas|g/dL|6,5 a 8,1
PROTEINA TOTAL E FRACOES, soro - Albumina - Albumina|g/dL|3,5 a 5,2
PROTEINA TOTAL E FRACOES, soro - Globulinas - Globulinas|g/dL|1,7 a 3,5
PROTEINA TOTAL E FRACOES, soro - Relação Albumina/Globulina - Relação Albumina/Globulina|%|0,9 a 2,0
ANTICORPOS ANTI-PEROXIDASE TIROIDIANA, soro - Observação - Observação||
IgE, IMUNOGLOBULINA, soro - IgE, Imunoglobulina - IgE, Imunoglobulina|kU/L|inferior a 100
ACIDO URICO, soro - Ácido Úrico, soro - Ácido Úrico, soro|mg/dL|3,4 a 7,0
FERRO, soro - Ferro - Ferro|microg/dL|65 a 175
CREATININA, soro - Creatinina - Creatinina|mg/dL|0,70 a 1,30
ANTIGENO PROSTATICO ESPECIFICO(PSA), soro - PSA Total - PSA Total||
ANTIGENO PROSTATICO ESPECIFICO(PSA), soro - PSA Total - PSA Total|ng/mL|
ANTIGENO PROSTATICO ESPECIFICO(PSA), soro - PSA Livre/Total - PSA Livre/Total|ng/mL|
ANTIGENO PROSTATICO ESPECIFICO(PSA), soro - PSA Livre - PSA Livre|ng/mL|
URINA TIPO I - JATO MEDIO - Cristais, urina - Cristais, urina||
URINA TIPO I - JATO MEDIO - Outros - Urina I - Outros - Urina I||
SATURAÇÃO DA TRANSFERRINA, soro - Ferro - Capac Total ligação - Ferro - Capac Total ligação|microg/dL|250 a 425
SATURAÇÃO DA TRANSFERRINA, soro - Ferro - Ferro|microg/dL|65 a 175
SATURAÇÃO DA TRANSFERRINA, soro - Ferro - Grau de Saturação - Ferro - Grau de Saturação|%|20 a 50
BETA 2 MICROGLOBULINA, soro - Beta 2 Microglobulina - Beta 2 Microglobulina|mg/L|inferior a 2,4
IMUNOFIXAÇÃO DAS PROTEÍNAS SÉRICAS - Proteínas Séricas, imunofixação - Proteínas Séricas, imunofixação||Ausência de componente monoclonal
IgA, IMUNOGLOBULINA, soro - IgA, Imunoglobulina - IgA, Imunoglobulina|mg/dL|50 a 400
IgG, IMUNOGLOBULINA, soro - IgG, Imunoglobulina - IgG, Imunoglobulina|mg/dL|600 a 1500
IgM, IMUNOGLOBULINA, soro - IgM, Imunoglobulina - IgM, Imunoglobulina|mg/dL|50 a 300
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|nmol/L|27 a 128
DIHIDROTESTOSTERONA (DHT), soro - Dihidrotestosterona - Dihidrotestosterona|ng/dL|5 a 46
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|9 a 246
ESTRIOL, soro - Estriol - Estriol|ng/mL|Mulheres não grávidas: < 0,15
CADEIA LEVE DE IMUNOGLOBULINA LIVRE, soro - Cadeias kappa livres - Cadeias kappa livres|mg/dL|0,33 a 1,94
CADEIA LEVE DE IMUNOGLOBULINA LIVRE, soro - Cadeias lambda livres - Cadeias lambda livres|mg/dL|0,57 a 2,63
CADEIA LEVE DE IMUNOGLOBULINA LIVRE, soro - Relação kappa/lambda - Relação kappa/lambda|mg/dL|0,26 a 1,65
CADEIA LEVE DE IMUNOGLOBULINA LIVRE, soro - Cadeias kappa livres (mg/L) - Cadeias kappa livres (mg/L)|mg/L|3,3 a 19,4
CADEIA LEVE DE IMUNOGLOBULINA LIVRE, soro - Cadeias lambda livres (mg/L) - Cadeias lambda livres (mg/L)|mg/L|5,7 a 26,3
ALBUMINURIA, amostra isolada - Microalbuminúria isolada/Creatinina - Microalbuminúria isolada/Creatinina|mg/g creatinina|Até 30
CREATININA, amostra isolada na urina - Creatinina, urina isolada - Creatinina, urina isolada|g/L|0,2 a 3,5
APOLIPOPROTEINA B, soro - Apolipoproteína B - Apolipoproteína B|mg/dL|51 a 171
APOLIPOPROTEINA A-1, soro - Apolipoproteína A-1 - Apolipoproteína A-1|mg/dL|107 a 214
DEHIDROEPIANDROSTERONA, soro - DHA - DHA|ng/dL|
PROLACTINA (PRL), soro - Prolactina - Prolactina|microg/L|Não grávidas: até 31
ANTISTREPTOLISINA O (ASLO), ANTICORPOS, soro - Antistreptolisina O - Antistreptolisina O|UI/mL|Até 200
ALFA-1 GLICOPROTEINA ACIDA, soro - Alfa-1 Glicopr Acida - Alfa-1 Glicopr Acida|mg/dL|50 a 120
FATOR REUMATOIDE, soro - Fator Reumatóide - Fator Reumatóide|UI/mL|inferior a 20
IMUNOFIXAÇÃO DE PROTEÍNAS URINÁRIAS, BENCE-JONES - Bence-Jones, urina - Bence-Jones, urina||
PROTEINURIA, COMPLEMENTAR, urina - Proteínas - Proteínas|g/L|inferior a 0,10
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até 39
HERPES SIMPLEX, TIPO 1 e 2, ANTICORPO IgM, soro - Herpes Simplex, Tipo 1 e 2, IgM - Herpes Simplex, Tipo 1 e 2, IgM||Não reagente
HERPES SIMPLEX, TIPO 1, ANTICORPOS IgG, soro - Herpes Simplex, Tipo 1, IgG - Herpes Simplex, Tipo 1, IgG||
HERPES SIMPLEX, TIPO 2, ANTICORPOS IgG, soro - Herpes Simplex, Tipo 2, IgG - Herpes Simplex, Tipo 2, IgG||
PROVA RAPIDA PARA DETECCAO DE ESTREPTOCOCO BETA-HEMOLITICO DO GRUPO A - Estreptococos Beta Hemolíticos do Grupo A - Estreptococos Beta Hemolíticos do Grupo A||
URINA TIPO I - JATO MEDIO - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 20000
URINA TIPO I - JATO MEDIO - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 10000
PEPTIDEO C, soro - Peptídio C - Peptídio C|ng/mL|1,1 a 4,4
ANTICORPOS ANTI-GAD, soro - Anti-GAD - Anti-GAD|UI/mL|inferior a 10
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA-Paciente/Normal (após mistura) - TTPA-Paciente/Normal (após mistura)|segundos|0,91 a 1,20
HIV1/HIV2, ANTICORPOS POR TESTE RÁPIDO, soro - HIV1/HIV2 -Imunocrom - HIV1/HIV2 -Imunocrom||Não reagente
HEMOGRAMA, sangue total - Índice de Green & King - Índice de Green & King||
GLICOSE, plasma - Glicose - Glicose|mg/dL|70 a 99
FRUTOSAMINA, soro - Frutosamina - Frutosamina|micromol/L|De 205 a 285
TRIIODOTIRONINA (T3), soro - Triiodotironina (T3) - Triiodotironina (T3)|ng/dL|70 a 200
TIROXINA (T4), soro - Tiroxina (T4) - Tiroxina (T4)|microg/dL|4,5 a 12,0
COVID19, ANTICORPOS IgM, soro - Covid 19, Sorologia - Conclusão - Covid 19, Sorologia - Conclusão||
HORMONIO TIROESTIMULANTE (TSH), soro - Observação, TSH - Observação, TSH||
HIV-1, ANTICORPOS, soro - Western-Blot - Western-Blot||Não reagente
SATURAÇÃO DA TRANSFERRINA, soro - Ferro - Ferro|microg/dL|50 a 170
PESQUISA TRICOMONAS - Tricomonas, secreção vaginal - Tricomonas, secreção vaginal||Negativa
DETECÇÃO DE NEISSERIA GONORRHOEAE POR PCR - Neisseria Gonorrhoeae PCR - Neisseria Gonorrhoeae PCR||Negativo
DETECÇÃO DE CHLAMYDIA TRACHOMATIS POR MÉTODO MOLECULAR - Clamidia Trachomatis PCR - Clamidia Trachomatis PCR||Negativo
TESTOSTERONA, soro - Testosterona - Testosterona|ng/dL|Até 63
TESTE DA ANTIGLOBULINA DIRETO (TAD) - COOMBS DIRETO - Coombs direto - Coombs direto||Negativo
HAPTOGLOBINA, soro - Haptoglobina - Haptoglobina|mg/dL|36 a 195
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD4+ - Linfócitos T CD4+|/mm3|507 a 1496
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD8+ - Linfócitos T CD8+|/mm3|303 a 1008
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Relação CD4+/CD8+ - Relação CD4+/CD8+|/mm3|0,9 a 2,6
LINFOCITOS T AUXILIADORES E SUPRESSORES, sangue - Linfócitos T CD3+ - Linfócitos T CD3+|/mm3|1035 a 2333
ACIDO FOLICO, soro - Ácido fólico - Ácido fólico|ng/mL|Maior que 5,4
EXAME PARASITOLOGICO DE FEZES - Parasitológico - Parasitológico||
PEPTIDEO CITRULINADO CICLICO (CCP), AUTO-ANTICORPOS, soro - CCP, Auto-Anticorpos - CCP, Auto-Anticorpos|U/mL|inferior a 5
GLICOSE, soro - Glicose - Glicose|mg/dL|75 a 99
URINA TIPO I - JATO MEDIO - Corpos cetônicos, urina - Corpos cetônicos, urina||negativa
URINA TIPO I - JATO MEDIO - Leucócitos qualitativo, urina - Leucócitos qualitativo, urina|por campo|inferior a 10
URINA TIPO I - JATO MEDIO - Eritrócitos qualitativo, urina - Eritrócitos qualitativo, urina|por campo|inferior a 10
URINA TIPO I - JATO MEDIO - Bilirrubina, urina - Bilirrubina, urina||negativa
URINA TIPO I - JATO MEDIO - Urobilinogênio, urina - Urobilinogênio, urina|mg/dL|inferior a 1,0
PESQUISA DO PAPILOMAVÍRUS HUMANO (HPV) DE ALTO RISCO POR TÉCNICA MOLECULAR - HPV de alto risco - HPV de alto risco||Indetectável
SARS-COV-2, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgA, Elisa - Covid 19, Anticorpos IgA, Elisa||Não reagente
SARS-COV-2, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgA, Elisa - Índice - Covid 19, Anticorpos IgA, Elisa - Índice||inferior a 0,80
SARS-COV-2, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Elisa - Covid 19, Anticorpos IgG, Elisa||Não reagente
SARS-COV-2, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Elisa - Índice - Covid 19, Anticorpos IgG, Elisa - Índice||inferior a 0,80
SARS-COV-2, ANTICORPOS IgG, soro - Covid 19, Antic IgA/IgG, Elisa-Interpretação - Covid 19, Antic IgA/IgG, Elisa-Interpretação||
SARS-COV-2, ANTICORPOS IgG, soro - Covid 19, Antic IgA/IgG, Elisa - observação - Covid 19, Antic IgA/IgG, Elisa - observação||
TESTOSTERONA, soro - Observação - Observação||
FRACAO MICROSSOMAL(LKM), AUTO-ANTICORPOS, soro - LKM - LKM||Não reagente
SS-A/Ro e SS-B/La, AUTO-ANTICORPOS, soro - Ro/SS-A - Ro/SS-A||Não reagente: igual ou inferior a 1,0
SS-A/Ro e SS-B/La, AUTO-ANTICORPOS, soro - La/SS-B - La/SS-B||Não reagente: igual ou inferior a 1,0
MUSCULO LISO, AUTO-ANTICORPOS, soro - Musculo liso - Muscularis Mucosa - Musculo liso - Muscularis Mucosa||Não reagente
MUSCULO LISO, AUTO-ANTICORPOS, soro - Musculo liso - Mesangio Glomerular - Musculo liso - Mesangio Glomerular||Não reagente
MUSCULO LISO, AUTO-ANTICORPOS, soro - Musculo liso - Bainha Muscular de Vaso - Musculo liso - Bainha Muscular de Vaso||Não reagente
MUSCULO LISO, AUTO-ANTICORPOS, soro - Musculo liso-Fibrilas Tubulares Extracelulare - Musculo liso-Fibrilas Tubulares Extracelulare||Não reagente
ANTICORPOS ANTI-MITOCONDRIA, soro - Anti-mitocondrial fração M2, Anticorpo - Anti-mitocondrial fração M2, Anticorpo||inferior a 0,9
ANTICORPOS ANTI-MITOCONDRIA, soro - Anti-mitocondrial, Anticorpo - Anti-mitocondrial, Anticorpo||Não reagente
DNA NATIVO (DUPLA HÉLICE), AUTO-ANTICORPOS, soro - Anti-DNA - Anti-DNA|micromol/L|Não reagente: inferior a 1,0
JO-1, AUTO-ANTICORPOS, soro - Jo-1, Auto-Anticorpos-ensaio imunoenzimático - Jo-1, Auto-Anticorpos-ensaio imunoenzimático||igual ou inferior a 1,0
Scl-70, AUTO-ANTICORPOS, soro - Scl-70, Auto-Anticorpos - imunodifusão dupla - Scl-70, Auto-Anticorpos - imunodifusão dupla||
Sm/RNP, AUTO-ANTICORPOS, soro - RNP, Auto-Anticorpos - RNP, Auto-Anticorpos||Não reagente: igual ou inferior a 1,0
Sm/RNP, AUTO-ANTICORPOS, soro - Sm, Auto-Anticorpos - Sm, Auto-Anticorpos||Não reagente: igual inferior a 1,0
CERULOPLASMINA, soro - Ceruloplasmina - Ceruloplasmina|mg/dL|22 a 58
TRIPANOSSOMA CRUZI, anticorpos IgG, soro - Tripanossoma Cruzi - IgG, Elisa - Tripanossoma Cruzi - IgG, Elisa||Não reagente
TRIPANOSSOMA CRUZI, anticorpos IgG, soro - Tripanossoma Cruzi - IgG, IFI - Tripanossoma Cruzi - IgG, IFI||Não reagente
SUBUNIDADE B LIVRE DA GONADOTROFINA CORIÔNICA HUMANA, soro - HCG - Subunidade B Livre - HCG - Subunidade B Livre|ng/mL|
GONADOTROFINA CORIONICA HUMANA, soro - HCG - HCG|UI/L|Não grávidas: Indetectável
PROGESTERONA, soro - Progesterona - Progesterona|ng/dL|Até 89
ANTICORPO CONTRA O ANTIGENO e DO VIRUS DA HEPATITE B (ANTI-HBe), soro - Anti-HBe - Anti-HBe||Não Reagente
ANTIGENO e DO VIRUS DA HEPATITE B (AgHBe), soro - AgHBe - AgHBe||Não reagente
ZIKA VÍRUS, PESQUISA DE ANTICORPOS DA CLASSE IGM, soro - Zika vírus - IgM - Zika vírus - IgM||
ZIKA VÍRUS, PESQUISA DE ANTICORPOS DA CLASSE IGM, soro - Zika vírus - IgM - Índice - Zika vírus - IgM - Índice||
COMPLEMENTO TOTAL, atividade funcional , soro - Complemento Total - Complemento Total|Unidades|72 a 140
FRACAO C3 DO COMPLEMENTO, soro - C3 - C3|mg/dL|67 a 149
FRACAO C4 DO COMPLEMENTO, soro - C4 - C4|mg/dL|10 a 38
CITOPLASMA DE NEUTROFILOS, ANTICORPOS (c-ANCA e p-ANCA), soro - ANCA - ANCA||Não reagente
RNP, AUTO-ANTICORPOS, soro - RNP, Auto-Anticorpos - ensaio imunoenzimático - RNP, Auto-Anticorpos - ensaio imunoenzimático||Não reagente: igual ou inferior a 1,0
Sm, AUTO-ANTICORPOS, soro - Sm, Auto-Anticorpos - Sm, Auto-Anticorpos||Não reagente: igual ou inferior a 1,0
Ro/SS-A, AUTO-ANTICORPOS, soro - Ro/SS-A - Ro/SS-A||Não reagente: igual ou inferior a 1,0
La/SS-B, AUTO-ANTICORPOS, soro - La/SS-B - ensaio imunoenzimático - La/SS-B - ensaio imunoenzimático||Não reagente: igual ou inferior a 1,0
CRIOGLOBULINAS, soro - Crioglobulinas - Crioglobulinas|microgramas/mL|inferior a 80
SIFILIS, ANTICORPOS TOTAIS ESPECIFICOS ANTI-T.PALLIDUM, soro - Sífilis - imunoenzimático - Sífilis - imunoenzimático||
SIFILIS, ANTICORPOS TOTAIS ESPECIFICOS ANTI-T.PALLIDUM, soro - Sifilis - Índice imunoenzimático - Sifilis - Índice imunoenzimático||
URINA TIPO I - JATO MEDIO - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 20.000/mL
URINA TIPO I - JATO MEDIO - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 10.000/mL
PESQUISA DE DISMORFISMO ERITROCITÁRIO, urina - Dismorfismo, urina - Dismorfismo, urina||Sem dismorfismo digno de nota
PROTEINAS, amostra isolada de urina - Proteínas, urina isolada - Proteínas, urina isolada|g/L|
PROTEINAS, amostra isolada de urina - Relação Proteínas/Creatinina - Relação Proteínas/Creatinina|g/L|inferior a 0,20
DEPURACAO DE CREATININA ENDOGENA - Creatinina - Creatinina|mg/dL|0,70 a 1,30
DEPURACAO DE CREATININA ENDOGENA - Creatinina, Depuração corrigida - Creatinina, Depuração corrigida|mL/minuto|85 a 125
DEPURACAO DE CREATININA ENDOGENA - Volume (mL) - Volume (mL)||
DEPURACAO DE CREATININA ENDOGENA - Superfície Corporal - Superfície Corporal||
DEPURACAO DE CREATININA ENDOGENA - Intervalo de tempo - Intervalo de tempo||
DEPURACAO DE CREATININA ENDOGENA - Creatinina, Depuração - Creatinina, Depuração||
DEPURACAO DE CREATININA ENDOGENA - Depuração - Altura - Depuração - Altura||
CREATININA, urina - Excreção no volume enviado - Excreção no volume enviado||
PESQUISA DE VÍRUS INFLUENZA A POR MÉTODO MOLECULAR - Vírus A/H1N1/PANDÊMICO 2009 - Vírus A/H1N1/PANDÊMICO 2009||Negativo
PESQUISA DE VÍRUS INFLUENZA A POR MÉTODO MOLECULAR - Vírus Influenza A (Sazonal) - Vírus Influenza A (Sazonal)||Negativo
CROMO, plasma - Cromo - Cromo|U/L|
CARDIOLIPINA, ANTICORPO IgG, soro - Anti-Cardiolipina IgG - Anti-Cardiolipina IgG|U/GPL|inferior a 10
CARDIOLIPINA, ANTICORPO IgM, soro - Anti-Cardiolipina IgM - Anti-Cardiolipina IgM|U/MPL|inferior a 10
Eletroforese DE HEMOGLOBINA, sangue total - Hemoglobina A - Hemoglobina A|%|> 95
Eletroforese DE HEMOGLOBINA, sangue total - Hemoglobina A2 - Hemoglobina A2|%|2,0 a 3,5
Eletroforese DE HEMOGLOBINA, sangue total - Hemoglobina F - Hemoglobina F|%|0,0 a 2,0
SERIE VERMELHA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,0 a 15,5
SERIE VERMELHA, sangue total - VCM - VCM|fL|82,0 a 98,0
SERIE VERMELHA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|3,90 a 5,00
SERIE VERMELHA, sangue total - Hematócrito - Hematócrito|%|35,0 a 45,0
SERIE VERMELHA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|26,0 a 34,0
SERIE VERMELHA, sangue total - Concentração de Hemoglobina Corpuscular - Concentração de Hemoglobina Corpuscular|g/dL|31,0 a 36,0
SERIE VERMELHA, sangue total - RDW - RDW|%|11,9 a 15,5
SERIE VERMELHA, sangue total - Morfologia, Série Vermelha - Morfologia, Série Vermelha||
SERIE VERMELHA, sangue total - Índice de Green & King - Índice de Green & King||
SERIE VERMELHA, sangue total - Hemoglobina - Hemoglobina|g/dL|13,5 a 17,5
SERIE VERMELHA, sangue total - VCM - VCM|fL|81,0 a 95,0
SERIE VERMELHA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,30 a 5,70
SERIE VERMELHA, sangue total - Hematócrito - Hematócrito|%|39,0 a 50,0
SERIE VERMELHA, sangue total - RDW - RDW|%|11,8 a 15,6
PESQUISA DE TRICOMONAS - Tricomonas, pesquisa - Tricomonas, pesquisa||
MYCOPLASMA HOMINIS E MYCOPLASMA GENITALIUM, DETECÇÃO DO DNA POR PCR - Mycoplasma hominis - Mycoplasma hominis||
MYCOPLASMA HOMINIS E MYCOPLASMA GENITALIUM, DETECÇÃO DO DNA POR PCR - Mycoplasma genitalium - Mycoplasma genitalium||Indetectável
TESTOSTERONA, soro - Testosterona - Testosterona|ng/dL|240 a 816
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|nmol/L|21 a 77
TRIIODOTIRONINA (T3), soro - Triiodotironina (T3) - Triiodotironina (T3)|ng/dL|40 a 180
URINA TIPO I - JATO MEDIO - Observação - Observação||
ESTRONA (E1), soro - Estrona (E1) - Estrona (E1)|ng/dL|
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2573 a 5804
ENDOMISIO, ANTICORPOS IgA, soro - Endomísio, Anticorpos IgA - Endomísio, Anticorpos IgA||Não reagente
CA 72-4, soro - CA 72-4 - CA 72-4|U/mL|inferior a 6,0
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|19 a 256
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|mmol/L|27 a 128
IGE ESPECIFICO, F78 - CASEINA, soro - Rast - F78 - Caseina - Rast - F78 - Caseina|kU/L|inferior a 0,35
IGE ESPECIFICO, F76 - ALFA-LACTOALBUMINA, soro - Rast - F76 - Alfa-lactoalbumina - Rast - F76 - Alfa-lactoalbumina|kU/L|inferior a 0,35
IGE ESPECIFICO, F77 - BETA-LACTOGLOBULINA, soro - Rast - F77 - Beta-lactoglobulina - Rast - F77 - Beta-lactoglobulina|kU/L|inferior a 0,35
PROLACTINA (PRL), soro - Prolactina - Prolactina|microg/L|Até 24
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|89 a 427
CALCITONINA, soro - Calcitonina - Calcitonina|pg/mL|Até 14,3
DEPURACAO DE CREATININA ENDOGENA - Creatinina - Creatinina|mg/dL|0,60 a 1,10
DEPURACAO DE CREATININA ENDOGENA - Creatinina, Depuração corrigida - Creatinina, Depuração corrigida|mL/minuto|75 a 115
PLAQUETAS, sangue total - Plaquetas - Plaquetas|/mm3|150.000 a 450.000
TEMPO DE SANGRAMENTO - Tempo de Sangramento - Tempo de Sangramento|minutos|Até 3 minutos
TESTE IMUNOLOGICO PARA PESQUISA DE SANGUE OCULTO NAS FEZES - Sangue Oculto nas fezes - Sangue Oculto nas fezes||Negativo
PESQUISA DO PAPILOMAVÍRUS HUMANO (HPV) POR TÉCNICA MOLECULAR - HPV de baixo risco - HPV de baixo risco||Indetectável
PESQUISA DO PAPILOMAVÍRUS HUMANO (HPV) POR TÉCNICA MOLECULAR - HPV de alto risco - HPV de alto risco||Indetectável
NT-PRO BNP (FRAGMENTO N-TERMINAL DO PEPTÍDEO NATRIURÉTICO TIPO B), plasma - NT-PRO BNP - NT-PRO BNP|pg/mL|Até 125
GASOMETRIA VENOSA - pH venoso - pH venoso||7,33 a 7,43
GASOMETRIA VENOSA - pO2 venoso - pO2 venoso|mmHg|30 a 50
GASOMETRIA VENOSA - pCO2 venoso - pCO2 venoso|mmHg|38 a 50
GASOMETRIA VENOSA - HCO3 venoso - HCO3 venoso|mmol/L|23 a 27
GASOMETRIA VENOSA - BE venoso - BE venoso||-3,0 a +3,0
GASOMETRIA VENOSA - Sat O2 venoso - Sat O2 venoso|%|60 a 85
PLAQUETAS, sangue total - Plaquetas - Plaquetas|/mm3| 150.000 a 450.000
PLAQUETAS, sangue total - Volume plaquetário médio - Volume plaquetário médio|%|9,2 a 12,6
PLAQUETAS, sangue total - Fração Imatura de Plaquetas - Fração Imatura de Plaquetas|%|1,1 a 6,8
DENGUE, ANTICORPOS IgG, PROVA RÁPIDA, soro - Dengue, IgG - Dengue, IgG||Não reagente
DENGUE, ANTICORPOS IgM, PROVA RÁPIDA, soro - Dengue, IgM - Dengue, IgM||Não reagente
HORMONIO DE CRESCIMENTO (HGH), soro - Hormônio crescimento - Hormônio crescimento|microg/L|
IGE ESPECIFICO, F13 - AMENDOIM, soro - Rast - F13 - Amendoim - Rast - F13 - Amendoim|kU/L|inferior a 0,35
IGE ESPECIFICO, F202 - CASTANHA DE CAJU, soro - Rast - F202 - Castanha de caju - Rast - F202 - Castanha de caju|kU/L|inferior a 0,35
IGE ESPECIFICO, F256 - NOZ, soro - Rast - F256 - Nóz - Rast - F256 - Nóz|kU/L|inferior a 0,35
IGE ESPECIFICO, F75 - GEMA DE OVO, soro - Rast - F75 - Gema de ovo - Rast - F75 - Gema de ovo|kU/L|inferior a 0,35
IGE ESPECIFICO, F1 - CLARA DE OVO, soro - Rast - F1 - Clara de ovo - Rast - F1 - Clara de ovo|kU/L|inferior a 0,35
IGE ESPECIFICO, F93 - CACAU (CHOCOLATE), soro - Rast - F93 - Cacau (Chocolate) - Rast - F93 - Cacau (Chocolate)|kU/L|inferior a 0,35
IGE ESPECIFICO, F4 - TRIGO, soro - Rast - F4 - Trigo - Rast - F4 - Trigo|kU/L|inferior a 0,35
IGE ESPECIFICO, F8 - MILHO, soro - Rast - F8 - Milho - Rast - F8 - Milho|kU/L|inferior a 0,35
IGE ESPECIFICO, F14 - SOJA, soro - Rast - F14 - Soja - Rast - F14 - Soja|kU/L|inferior a 0,35
PROVA COPROLOGICA FUNCIONAL DO APARELHO DIGESTIVO - pH, coprologica - pH, coprologica|microg/L|5,0 - 6,0
ALFA-1 ANTI-TRIPSINA, fezes - Alfa-1 Anti-tripsina, fezes - Alfa-1 Anti-tripsina, fezes|mg/g de fezes secas|Até 3,0
GORDURAS, PESQUISA NAS FEZES - Gorduras Neutras - Gorduras Neutras||Normal
GORDURAS, PESQUISA NAS FEZES - Ácidos graxos e sabões - Ácidos graxos e sabões||Normal
PESQUISA de OVOS e LARVAS DE HELMINTOS e CISTOS DE PROTOZOÁRIOS nas FEZES - Parasitológico - Parasitológico||
pH, Determinação nas fezes - pH, Fezes - pH, Fezes||
IGE ESPECIFICO, F41 - SALMÃO, soro - Rast - F41 - Salmão - Rast - F41 - Salmão|kU/L|inferior a 0,35
IGE ESPECIFICO, F40 - ATUM, soro - Rast - F40 - Atum - Rast - F40 - Atum|kU/L|inferior a 0,35
IGE ESPECIFICO, F17 - AVELÃ, SORO - Rast - F17 - Avelã - Rast - F17 - Avelã|kU/L|inferior a 0,35
IGE ESPECIFICO, F20 - AMÊNDOA, soro - Rast - F20 - Amêndoa - Rast - F20 - Amêndoa|kU/L|inferior a 0,35
17-ALFA-HIDROXIPROGESTERONA, soro - 17-Alfa-Hidroxiprogesterona - 17-Alfa-Hidroxiprogesterona|ng/dL|
IGFBP-3 (PROTEINA LIGADORA-3 DO FATOR DE CRESCIMENTO SIMILE A INSULINA) - IGFBP3 - IGFBP3|ng/mL|2306 a 5703
GLOBULINA LIGADORA DA TIROXINA (TBG), soro - Globulina ligadora da tiroxina (TBG) - Globulina ligadora da tiroxina (TBG)|mg/L|14 a 31
COBRE, plasma - Cobre - Cobre|microg/dL|70 a 140
SELENIO, plasma - Selenio, soro - Selenio, soro|microg/L|De 46 a 143
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|160 a 492
DIHIDROTESTOSTERONA (DHT), soro - Dihidrotestosterona - Dihidrotestosterona|ng/dL|16 a 79
MERCURIO, sangue total - Mercúrio, sangue - Espectrometria de massa - Mercúrio, sangue - Espectrometria de massa|microg/L|inferior a 10,00
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|61 a 337
ANTICORPOS IgM CONTRA O VIRUS DA HEPATITE A (ANTI-VHA IgM) - Anti-VHA, IgM - Anti-VHA, IgM|UI/L|Não Reagente
ANTICORPO IgM CONTRA ANTIGENO DO CORE DO VIRUS DA HEPATITE B, soro - Anti-HBc, IgM - Anti-HBc, IgM||Não Reagente
IGE ESPECIFICO, F2 - LEITE DE VACA, soro - Rast - F2 - Leite de vaca - Rast - F2 - Leite de vaca|kU/L|inferior a 0,35
